Entry	Entry name	Gene names
P40471	AYR1_YEAST	AYR1 YIL124W
P38845	CRP1_YEAST	CRP1 YHR146W
E7LVH4	CRP1_YEASV	CRP1 VIN13_2191
P16522	CDC23_YEAST	CDC23 YHR166C
P32458	CDC11_YEAST	CDC11 PSL9 YJR076C J1833
P38013	AHP1_YEAST	AHP1 YLR109W L2916 L9354.5
P53264	CLD1_YEAST	CLD1 YGR110W G6140
P19454	CSK22_YEAST	CKA2 YOR061W YOR29-12
P38930	CSK2C_YEAST	CKB2 YOR039W OR26.32
Q12674	ATC8_YEAST	DNF3 YMR162C YM8520.11C
P38929	ATC2_YEAST	PMC1 YGL006W
Q12675	ATC4_YEAST	DNF2 YDR093W YD8557.01
P27825	CALX_YEAST	CNE1 YAL058W FUN48
P53859	CSL4_YEAST	CSL4 SKI4 YNL232W N1154
C7GRS7	AIM11_YEAS2	AIM11 GEP8 C1Q_03034
A6ZR50	AIM11_YEAS7	AIM11 GEP8 SCY_1597
C7GPP6	AIM14_YEAS2	AIM14 C1Q_02267
P40353	ATF1_YEAST	ATF1 YOR377W
P35817	BDF1_YEAST	BDF1 YLR399C L8084.18
Q12348	CSN10_YEAST	RRI2 CSN10 YOL117W
Q03233	ADD37_YEAST	ADD37 YMR184W YM8010.14
C7GQ65	CHO2_YEAS2	CHO2 C1Q_02471
B5VJA0	CHO2_YEAS6	CHO2 AWRI1631_73790
A6ZUG8	CHO2_YEAS7	CHO2 SCY_2051
P35181	AP1S1_YEAST	APS1 YAP19 YLR170C L9470.16
A7A258	ATG18_YEAS7	ATG18 AUT10 CVT18 NMR1 SVP1 SCY_1768
P19880	AP1_YEAST	YAP1 PAR1 PDR4 SNQ3 YML007W YM9571.12
Q07528	ATG20_YEAST	ATG20 CVT20 SNX42 YDL113C
A6ZTF2	ATG22_YEAS7	ATG22 AUT4 SCY_0545
Q06671	ATG23_YEAST	ATG23 CVT23 YLR431C
P38843	CHS7_YEAST	CHS7 YHR142W
P38182	ATG8_YEAST	ATG8 APG8 AUT7 CVT5 YBL078C YBL0732
A6ZXH8	ATG9_YEAS7	ATG9 APG9 AUT9 CVT7 SCY_0766
P40019	CHZ1_YEAST	CHZ1 YER030W
Q05583	CIAO1_YEAST	CIA1 YDR267C
Q01649	CIK1_YEAST	CIK1 YMR198W YM9646.11
P13587	ATN1_YEAST	ENA1 HOR6 PMR2 PMR2A YDR040C YD6888.02C
P32907	ATO2_YEAST	ATO2 FUN34 YNR002C N2029
P08679	CISY2_YEAST	CIT2 YCR005C YCR043 YCR5C
P0CI40	CMC1_YEASX	SAL1
C8ZF59	CMC4_YEAS8	CMC4 EC1118_1M3_3895g
A0A023PZB3	FMP49_YEAST	FMP49 YER038W-A
P49435	APT1_YEAST	APT1 YML022W
P38910	CH10_YEAST	HSP10 CPN10 YOR020C OR26.10
E7QDA1	BL1S4_YEASZ	CLN1 VL3_1060
P43634	CHA4_YEAST	CHA4 SIL2 SIL3 YLR098C L8004.8
P31383	2AAA_YEAST	TPD3 YAL016W FUN32
P38934	BFR1_YEAST	BFR1 YOR198C
Q03687	ANY1_YEAST	ANY1 CFS1 YMR010W YM8270.13
C8ZEN7	EIS1_YEAS8	EIS1 EC1118_1M3_1937g
B3LLS9	EIS1_YEAS1	EIS1 SCRG_01927
P43557	FMP32_YEAST	FMP32 YFL046W
Q04924	GLU2B_YEAST	GTB1 YDR221W
Q12015	DSC3_YEAST	DSC3 YOR223W YOR50-13
P42935	ELP2_YEAST	ELP2 TOT2 YGR200C G7725
P43555	EMP47_YEAST	EMP47 YFL048C
Q99222	AFI1_YEAST	AFI1 YOR129C YOR3296C
P00812	ARGI_YEAST	CAR1 YPL111W LPH15W
Q12150	CSF1_YEAST	CSF1 YLR087C
P03876	AI2M_YEAST	AI2 Q0055
P43639	CSK2B_YEAST	CKB1 YGL019W
P39524	ATC3_YEAST	DRS2 YAL026C FUN38
B3LRL2	AIM11_YEAS1	AIM11 GEP8 SCRG_04571
C8Z7B2	AIM11_YEAS8	AIM11 GEP8 EC1118_1E8_2245g
P22137	CLH_YEAST	CHC1 YGL206C
P16639	ATE1_YEAST	ATE1 YGL017W
P37254	ADCS_YEAST	ABZ1 YNR033W N3286
P53296	ATF2_YEAST	ATF2 YGR177C G7135
A7A0L6	ATG10_YEAS7	ATG10 SCY_3540
Q12031	ACEB_YEAST	ICL2 YPR006C LPZ6C YP9723.06C
Q12527	ATG11_YEAST	ATG11 CVT9 YPR049C YP9499.07c
P40465	CSM2_YEAST	CSM2 YIL132C
P47130	CSN12_YEAST	CSN12 YJR084W J1860
P12904	AAKG_YEAST	SNF4 CAT3 SCI1 YGL115W
A7A1U4	ATG17_YEAS7	ATG17 APG17 SCY_3972
P53855	ATG2_YEAST	ATG2 APG2 AUT8 SPO72 YNL242W N1106
Q00381	AP2S_YEAST	APS2 YAP17 YJR058C J1720
P24813	AP2_YEAST	CAD1 YAP2 YDR423C D9461.12
C7GRY1	ATG33_YEAS2	ATG33 C1Q_03121
P29366	BEM1_YEAST	BEM1 SRO1 YBR200W YBR1412
P32873	BEM3_YEAST	BEM3 YPL115C LPH12C
Q12114	CHS5_YEAST	CHS5 CAL3 YLR330W L8543.18
P53744	BIO5_YEAST	BIO5 YNR056C N3502
Q06705	CSR1_YEAST	CSR1 SFH2 YLR380W
Q12142	ATG9_YEAST	ATG9 APG9 AUT9 CVT7 YDL149W D1560
P40442	CSS1_YEAST	CSS1 HPF1' YIL169C YI9402.07C
P43600	CSS2_YEAST	CSS2 YFR020W
Q08300	CSS3_YEAST	CSS3 YOL159C
P37302	APE3_YEAST	APE3 YBR286W YBR2024
P40416	ATM1_YEAST	ATM1 MDY YMR301C YM9952.03C
Q12691	ATN5_YEAST	ENA5 YDR038C YD9673.10c
Q06071	BL1S1_YEAST	BLS1 YLR408C
P0CD91	AQY1_YEAST	AQY1 AQY1-2 YPR192W P9677.5
C7GNE3	AQY22_YEAS2	AQY2-2 C1Q_01794
C8ZFZ7	BLH1_YEAS8	LAP3 BLH1 GAL6 YCP1 EC1118_1N9_1035g
P36117	ALY1_YEAST	ALY1 ART6 YKR021W
P53943	AQR1_YEAST	AQR1 YNL065W N2417 YNL2417W
B3LQ47	COA3_YEAS1	COA3 COX25 RRG10 SCRG_03606
