geneName,DEG_id,uniprot_id
RC3H1,DEG20110236,Q5TC82
CACYBP,DEG20110237,Q9HB71
SERPINC1,DEG20110238,P01008
ASTN1,DEG20110239,O14525
BRINP2,DEG20110240,Q9C0B6
TNR,DEG20110241,Q92752
TDRD5,DEG20110242,Q8NAT2
CEP350,DEG20110243,Q5VT06
RALGPS2,DEG20110244,Q86X27
GLUL,DEG20110245,P15104
CACNA1E,DEG20110246,Q15878
DHX9,DEG20110247,Q08211
NMNAT2,DEG20110248,Q9BZQ4
LAMC1,DEG20110249,P11047
XPR1,DEG20110250,Q9UBH6
SMG7,DEG20110251,Q92540
RNF2,DEG20110252,Q99496
IVNS1ABP,DEG20110253,Q9Y6Y0
TRMT1L,DEG20110254,Q7Z2T5
TPR,DEG20110255,P12270
RGL1,DEG20110256,Q9NZL6
CFH,DEG20110257,P08603
PTGS2,DEG20110258,P35354
CDC73,DEG20110259,Q6P1J9
KIF21B,DEG20110260,O75037
NR5A2,DEG20110261,O00482
CAMSAP2,DEG20110262,Q08AD1
ZNF281,DEG20110263,Q9Y2X9
LHX9,DEG20110264,Q9NQ69
PTPRC,DEG20110265,P08575
ELF3,DEG20110266,P78545
IPO9,DEG20110267,Q96P70
NAV1,DEG20110268,Q8NEY1
TMEM183A,DEG20110269,Q8IXX5
PIK3C2B,DEG20110270,O00750
ZC3H11A,DEG20110271,O75152
MDM4,DEG20110272,O15151
PLEKHA6,DEG20110273,Q9Y2H5
RBBP5,DEG20110274,Q15291
SOX13,DEG20110275,Q9UN79
NFASC,DEG20110276,O94856
NUCKS1,DEG20110277,Q9H1E3
MAPKAPK2,DEG20110278,P49137
SYT14,DEG20110279,Q8NB59
IRF6,DEG20110280,O14896
PLXNA2,DEG20110281,O75051
SLC30A1,DEG20110282,Q9Y6M5
PROX1,DEG20110283,Q92786
LPGAT1,DEG20110284,Q92604
PTPN14,DEG20110285,Q15678
TGFB2,DEG20110286,P61812
MARK1,DEG20110287,Q9P0L2
ESRRG,DEG20110288,P62508
KCTD3,DEG20110289,Q9Y597
RAB3GAP2,DEG20110290,Q9H2M9
SLC30A10,DEG20110291,Q6XR72
FBXO28,DEG20110292,Q9NVF7
WDR26,DEG20110293,Q9H7D7
ENAH,DEG20110294,Q8N8S7
LBR,DEG20110295,Q14739
ACBD3,DEG20110296,Q9H3P7
LIN9,DEG20110297,Q5TKA1
ITPKB,DEG20110298,P27987
CDC42BPA,DEG20110299,Q5VT25
TAF5L,DEG20110300,O75529
TSNAX,DEG20110301,Q99598
EGLN1,DEG20110302,Q9GZT9
EXOC8,DEG20110303,Q8IYI6
SPRTN,DEG20110304,Q9H040
SIPA1L2,DEG20110305,Q9P2F8
HEATR1,DEG20110306,Q9H583
RYR2,DEG20110307,Q92736
LYST,DEG20110308,Q99698
ARID4B,DEG20110309,Q4LE39
ACTN2,DEG20110310,P35609
CHRM3,DEG20110311,P20309
FMN2,DEG20110312,Q9NZ56
AKT3,DEG20110313,Q9Y243
ZBTB18,DEG20110314,Q99592
CNST,DEG20110315,Q6PJW8
DESI2,DEG20110316,Q9BSY9
KIF26B,DEG20110317,Q2KJY2
AHCTF1,DEG20110318,Q8WYP5
ZNF496,DEG20110319,Q96IT1
HNRNPU,DEG20110320,Q00839
MYT1L,DEG20110321,Q9UL68
RPS7,DEG20110322,P62081
ODC1,DEG20110323,P11926
RRM2,DEG20110324,P31350
ASAP2,DEG20110325,O43150
RNF144A,DEG20110326,P50876
ADAM17,DEG20110327,P78536
GRHL1,DEG20110328,Q9NZI5
MYCN,DEG20110329,P04198
DDX1,DEG20110330,Q92499
TRIB2,DEG20110331,Q92519
ROCK2,DEG20110332,O75116
PUM2,DEG20110333,Q8TB72
NCOA1,DEG20110334,Q15788
ATAD2B,DEG20110335,Q9ULI0
KIF3C,DEG20110336,O14782
DPYSL5,DEG20110337,Q9BPU6
ASXL2,DEG20110338,Q76L83
RAB10,DEG20110339,P61026
ZNF513,DEG20110340,Q8N8E2
CAD,DEG20110341,P27708
GTF3C2,DEG20110342,Q8WUA4
NRBP1,DEG20110343,Q9UHY1
ZNF512,DEG20110344,Q96ME7
FOSL2,DEG20110345,P15408
PPP1CB,DEG20110346,P62140
PPM1G,DEG20110347,O15355
WDR43,DEG20110348,Q15061
SPAST,DEG20110349,Q9UBP0
CRIM1,DEG20110350,Q9NZV1
STRN,DEG20110351,O43815
BIRC6,DEG20110352,Q9NR09
SRSF7,DEG20110353,Q16629
SLC8A1,DEG20110354,P32418
ATL2,DEG20110355,Q8NHH9
SOS1,DEG20110356,Q07889
TMEM178A,DEG20110357,Q8NBL3
EPAS1,DEG20110358,Q99814
PRKCE,DEG20110359,Q02156
FBXO11,DEG20110360,Q86XK2
PSME4,DEG20110361,Q14997
SPTBN1,DEG20110362,Q01082
CCDC88A,DEG20110363,Q3V6T2
NRXN1,DEG20110364,P58400
CCT4,DEG20110365,P50991
REL,DEG20110366,Q04864
PNPT1,DEG20110367,Q8TCS8
XPO1,DEG20110368,O14980
PAPOLG,DEG20110369,Q9BWT3
USP34,DEG20110370,Q70CQ2
EFEMP1,DEG20110371,Q12805
MEIS1,DEG20110372,O00470
VPS54,DEG20110373,Q9P1Q0
PELI1,DEG20110374,Q96FA3
ETAA1,DEG20110375,Q9NY74
EHBP1,DEG20110376,Q8NDI1
ACTR2,DEG20110377,P61160
MDH1,DEG20110378,P40925
AFTPH,DEG20110379,Q6ULP2
ANTXR1,DEG20110380,Q9H6X2
GFPT1,DEG20110381,Q06210
AAK1,DEG20110382,Q2M2I8
ADD2,DEG20110383,P35612
FBXO41,DEG20110384,Q8TF61
CCT7,DEG20110385,Q99832
ZNF638,DEG20110386,Q14966
CYP26B1,DEG20110387,Q9NR63
TET3,DEG20110388,O43151
INO80B,DEG20110389,Q9C086
PCGF1,DEG20110390,Q9BSM1
CTNNA2,DEG20110391,P26232
LRRTM1,DEG20110392,Q86UE6
RMND5A,DEG20110393,Q9H871
POLR1A,DEG20110394,O95602
KDM3A,DEG20110395,Q9Y4C1
REEP1,DEG20110396,Q9H902
KANSL3,DEG20110397,Q9P2N6
SNRNP200,DEG20110398,O75643
ARID5A,DEG20110399,Q03989
STARD7,DEG20110400,Q9NQZ5
SEMA4C,DEG20110401,Q9C0C4
INPP4A,DEG20110402,Q96PE3
TMEM131,DEG20110403,Q92545
AFF3,DEG20110404,P51826
CNOT11,DEG20110405,Q9UKZ1
REV1,DEG20110406,Q9UBZ9
MAP4K4,DEG20110407,O95819
NPAS2,DEG20110408,Q99743
RANBP2,DEG20110409,P49792
BCL2L11,DEG20110410,O43521
SH3RF3,DEG20110411,Q8TEJ3
POLR1B,DEG20110412,Q9H9Y6
ZC3H6,DEG20110413,P61129
IL1B,DEG20110414,P01584
TTL,DEG20110415,Q8NG68
ACTR3,DEG20110416,P61158
CBWD2,DEG20110417,Q8IUF1
RABL2A,DEG20110418,Q9UBK7
DPP10,DEG20110419,Q8N608
PAX8,DEG20110420,Q06710
MAP3K2,DEG20110421,Q9Y2U5
PTPN4,DEG20110422,P29074
CLASP1,DEG20110423,Q7Z460
TFCP2L1,DEG20110424,Q9NZI6
INHBB,DEG20110425,P09529
TSN,DEG20110426,Q15631
GLI2,DEG20110427,P10070
HS6ST1,DEG20110428,O60243
WDR33,DEG20110429,Q9C0J8
AMMECR1L,DEG20110430,Q6DCA0
SAP130,DEG20110431,Q9H0E3
IWS1,DEG20110432,Q96ST2
UBXN4,DEG20110433,Q92575
MCM6,DEG20110434,Q14566
MGAT5,DEG20110435,Q09328
ACVR2A,DEG20110436,P27037
EPC2,DEG20110437,Q52LR7
KIF5C,DEG20110438,O60282
ZEB2,DEG20110439,O60315
RND3,DEG20110440,P61587
LRP1B,DEG20110441,Q9NZR2
MBD5,DEG20110442,Q9P267
RIF1,DEG20110443,Q5UIP0
NR4A2,DEG20110444,P43354
ACVR1,DEG20110445,Q04771
FMNL2,DEG20110446,Q96PY5
KCNJ3,DEG20110447,P48549
PRPF40A,DEG20110448,O75400
MARCH7,DEG20110449,Q9H992
TBR1,DEG20110450,Q16650
KCNH7,DEG20110451,Q9NS40
BAZ2B,DEG20110452,Q9UIF8
RBMS1,DEG20110453,P29558
TANK,DEG20110454,Q92844
SCN1A,DEG20110455,P35498
SCN3A,DEG20110456,Q9NY46
STK39,DEG20110457,Q9UEW8
SCN2A,DEG20110458,Q99250
